Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Marx H.E., Carboni M., Douzet R., Perrier C., Delbart F., Thuiller W., Lavergne S., Tank D.C.","Can functional genomic diversity provide novel insights into mechanisms of community assembly? A pilot study from an invaded alpine streambed",2021,"Ecology and Evolution","10.1002/ece3.7973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111727245&doi=10.1002%2fece3.7973&partnerID=40&md5=fda24c572f69f72621fce6486b3bc44b","An important focus of community ecology, including invasion biology, is to investigate functional trait diversity patterns to disentangle the effects of environmental and biotic interactions. However, a notable limitation is that studies usually rely on a small and easy-to-measure set of functional traits, which might not immediately reflect ongoing ecological responses to changing abiotic or biotic conditions, including those that occur at a molecular or physiological level. We explored the potential of using the diversity of expressed genes—functional genomic diversity (FGD)—to understand ecological dynamics of a recent and ongoing alpine invasion. We quantified FGD based on transcriptomic data measured for 26 plant species occurring along adjacent invaded and pristine streambeds. We used an RNA-seq approach to summarize the overall number of expressed transcripts and their annotations to functional categories, and contrasted this with functional trait diversity (FTD) measured from a suite of characters that have been traditionally considered in plant ecology. We found greater FGD and FTD in the invaded community, independent of differences in species richness. However, the magnitude of functional dispersion was greater from the perspective of FGD than from FTD. Comparing FGD between congeneric alien–native species pairs, we did not find many significant differences in the proportion of genes whose annotations matched functional categories. Still, native species with a greater relative abundance in the invaded community compared with the pristine tended to express a greater fraction of genes at significant levels in the invaded community, suggesting that changes in FGD may relate to shifts in community composition. Comparisons of diversity patterns from the community to the species level offer complementary insights into processes and mechanisms driving invasion dynamics. FGD has the potential to illuminate cryptic changes in ecological diversity, and we foresee promising avenues for future extensions across taxonomic levels and macro-ecosystems. © 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","alien; alpine; community genomics; functional trait; gene expression; invasive; RNA-seq; transcriptome",,Article,Scopus
"Zhou L., Yu H., Yang K., Chen L., Yin W., Ding J.","Latitudinal and Longitudinal Trends of Seed Traits Indicate Adaptive Strategies of an Invasive Plant",2021,"Frontiers in Plant Science","10.3389/fpls.2021.657813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108995638&doi=10.3389%2ffpls.2021.657813&partnerID=40&md5=fec4b5e0191effd9026599a44f421f3c","Invasive plants may change their seed traits to adapt to the environment and facilitate their performance. Studies on variation in seed traits among populations of an invader along latitudes/longitudes may assist in revealing how invasive plants cope with variable climates. In this study, we collected seeds of 26 populations of the global invasive plant Ambrosia artemisiifolia along ranges spanning 23° latitudes and 20° longitudes that are highly correlated in its invasive range in China. We measured over 20 seed traits, including seed morphology, phytohormone, nutrients, and germination, and investigated how the climate along the latitudes affects those traits. We found that germination time was significantly delayed with increasing latitude and longitude, while the reversed patterns were true for the germination rate. From low to high latitude, seed size, abscisic acid, and fatty acid were increased, likely affecting seed germination. Our analysis further demonstrated that temperature is the dominant driver of the variability in seed traits and germination. Germination rates of larger seeds in cold ranges were lower, while smaller seeds from warm ranges germinated faster, likely indicating adaptive strategies of the invasive plant in seed trait functional ecology. Together, our findings provide new insights into understanding the seed adaptation strategies during the invasion process and the underlying physiological and biochemical mechanisms involved. © Copyright © 2021 Zhou, Yu, Yang, Chen, Yin and Ding.","Ambrosia artemisiifolia; climate; germination; invasion; latitude; longitude",,Article,Scopus
"Liu R.-L., Yang Y.-B., Lee B.R., Liu G., Zhang W.-G., Chen X.-Y., Song X.-J., Kang J.-Q., Zhu Z.-H.","The dispersal-related traits of an invasive plant Galinsoga quadriradiata correlate with elevation during range expansion into mountain ranges",2021,"AoB PLANTS","10.1093/aobpla/plab008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109432766&doi=10.1093%2faobpla%2fplab008&partnerID=40&md5=17225cf8133cf45d449544ad7a7b0a52","Detecting shifts in trait values among populations of an invasive plant is important for assessing invasion risks and predicting future spread. Although a growing number of studies suggest that the dispersal propensity of invasive plants increases during range expansion, there has been relatively little attention paid to dispersal patterns along elevational gradients. In this study, we tested the differentiation of dispersal-related traits in an invasive plant, Galinsoga quadriradiata, across populations at different elevations in the Qinling and Bashan Mountains in central China. Seed mass-area ratio (MAR), an important seed dispersal-related trait, of 45 populations from along an elevational gradient was measured, and genetic variation of 23 populations was quantified using inter-simple sequence repeat (ISSR) markers. Individuals from four populations were then planted in a greenhouse to compare their performance under shared conditions. Changing patterns of seed dispersal-related traits and populations genetic diversity along elevation were tested using linear regression. Mass-area ratio of G. quadriradiata increased, while genetic diversity decreased with elevation in the field survey. In the greenhouse, populations of G. quadriradiata sourced from different elevations showed a difference response of MAR. These results suggest that although rapid evolution may contribute to the range expansion of G. quadriradiata in mountain ranges, dispersal-related traits will also likely be affected by phenotypic plasticity. This challenges the common argument that dispersal ability of invasive plants increases along dispersal routes. Furthermore, our results suggest that high-altitude populations would be more effective at seed dispersal once they continue to expand their range downslope on the other side. Our experiment provides novel evidence that the spread of these high-altitude populations may be more likely than previously theorized and that they should thus be cautiously monitored. © 2021 The Author(s) 2021. Published by Oxford University Press on behalf of the Annals of Botany Company.","Dispersal-related traits; elevation gradient; genetic variation; invasive plant; population differentiation",,Article,Scopus
"Zeidler M., Šipoš J., Banaš M., Černohorský J.","The successive trend of vegetation confirms the removal of non-indigenous woody species as an insufficient restoration action",2021,"Biodiversity and Conservation","10.1007/s10531-021-02113-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099940327&doi=10.1007%2fs10531-021-02113-x&partnerID=40&md5=ab7644f55129d973d27962c9d5745c85","Invasive woody species can substantially affect their environment and communities, enhancing the interest in conservation management. Non-indigenous dwarf pine (Pinus mugo) in the treeline ecotone of the Eastern High Sudetes Mountains and its experimental removal is the model example. We asked how species composition and diversity develop after it is clearcut, and what are the main drivers leading to alpine grasslands restoration. On the study site (Jeseníky Mts., the Czech Republic), three distinct habitats were distinguished: plots after clearcut, alpine grasslands, and dwarf pine plantation. Plant species composition was assessed by means of phytosociological relevés together with selected plant traits and environmental factors. We compared temporal trends in species number, diversity, and plant traits among the habitats. Species richness and diversity has increased since the dwarf pine was clearcut. This trend was the same for all three types of habitats studied, although they were significantly different in spatial compositional heterogeneity and species structure. Species composition among study habitats differed and went through its own successive trend of community development during time as the consequence of species turnover. We revealed that light-demanding plant species preferring low nitrogen concentrations were associated with the successional trend after the dwarf pine was clearcut. Dwarf pine removal creates conditions for alpine grassland restoration, but restoration can take a long time because of the environmental conditions, dwarf pine legacy, and plant traits that determine the succession direction. We recommend implementing adaptive management with long-term monitoring followed by actions to correct the desired state. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.","Alpine; Clearcut; Dwarf pine; Grasslands restoration; Management; Successive trend","grassland; invasive species; phytosociology; pine; restoration ecology; trend analysis; vegetation structure; woody plant; Czech Republic; Pinus mugo",Article,Scopus
"Haq S.M., Hamid M., Lone F.A., Singh B.","Himalayan Hotspot with Alien Weeds: A Case Study of Biological Spectrum, Phenology, and Diversity of Weedy Plants of High Altitude Mountains in District Kupwara of J&K Himalaya, India",2021,"Proceedings of the National Academy of Sciences India Section B - Biological Sciences","10.1007/s40011-020-01219-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099746225&doi=10.1007%2fs40011-020-01219-6&partnerID=40&md5=b0f230916147dc201183f8946135ea52","Authentic certification, documentation, and ecological characterization of weed flora are of paramount importance for future studies that would help to formulate strategies for their management and conservation. Alien plants used to pose severe threats to ecosystems, and qualitative studies on weed flora in many interior regions of the Himalaya are still scarce. Patterns of species diversity, biological spectrum, and phenology of weeds growing in the Himalayas with invasive nature were investigated from 2017 to 2019 in thirty-eight localities of interior Kupwara district of Kashmir Himalaya from different agroecological zones. A hierarchical cluster analysis using the presence or absence data of flowering among plant species was performed and a complex Heatmap package was used. Data collected revealed a total of 158 plant species belonging to 115 genera and 35 families identified from a high altitude district Kupwara in India. The species distribution pattern across the families was unequal, with three families share more than half of the species documented, while fifteen families were monotypic. The family Asteraceae, Poaceae, and Brassicaceae were the most important weeds in terms of species abundance and species richness. Asteraceae represented by 35 species, as the dominant family followed by Poaceae with 19 species, and Brassicaceae by 14 species. In terms of functional trait diversity, the annual growth form was dominant over other forms such perennial or biannual. The phytogeographical analysis revealed that the maximum 91 species collected were native, while a minimum of 67 species reported as alien. Of the alien species, 25 were invasive, 35 naturalized, and 7 casual. The biological spectrum revealed the dominance of therophyte life form indicating the disturbed vegetation. The phenological spectrum revealed the maximum flowering period of weeds is between April and September where about 73% of species were observed in full bloom. This research adds an important way to the basic information of biodiversity patterns in the Himalayas and constitutes baseline data for the planned implementation of conservation. The outcomes also provide the baseline information on alien weeds, their invasive nature as well as in for better prediction of phenological shifts associated with these species due to contemporary climate change. It also would help to design conservation and management plans for threatened or otherwise important species for future implementation. © 2021, The National Academy of Sciences, India.","Biological spectrum; Conservation; Himalaya; Himalayan weeds; Phenology",,Article,Scopus
"Fazlioglu F., Wan J.S.H.","Warming matters: alpine plant responses to experimental warming",2021,"Climatic Change","10.1007/s10584-021-02996-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101717320&doi=10.1007%2fs10584-021-02996-3&partnerID=40&md5=71fca0abc29ebc1b13609f7d1ce152f5","Climate change has pronounced impacts on plants, particularly in environments vulnerable to warming such as alpine zones. Although plant responses in tundra and alpine environments from high latitudes have been well-studied at the community level, the overall effect of warming on global alpine plant populations and species remains unclear. We collated global data from 46 open-top chamber (OTC) studies conducted on alpine plants from mountain belts worldwide and assessed potential effects of warming on plant performance. In addition, we examined warming responses of plants from the tundra zone (Arctic tundra and alpine tundra) in circumpolar regions. In terms of growth and reproductive output, the overall response of 91 plant species was highly positive. Shrubs grew significantly larger and expressed higher reproduction under warming compared to forbs and graminoids. Arctic tundra plants tended to respond more positively to warming compared to alpine tundra plants. We also found that plant responses were greater with increasing precipitation across circumpolar tundra, but not across alpine zones. Phenotypic plasticity in size- and fitness-related traits were similar for both alpine and tundra zones. Our findings support the notion that global warming can cause significant changes to alpine environments. Due to changes in biotic interactions, alpine tundra plants may be more negatively affected by warming compared to Arctic tundra plants which responded more positively to warming. Similarly, if shrubs are most advantaged under warming, their invasion into higher elevations may threaten the ecological functioning of alpine ecosystems, which is another serious challenge from climate change. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.","Alpine; Arctic; Climate change; Meta-analysis; Phenotypic plasticity; Tundra","Cell proliferation; Ecosystems; Global warming; Biotic interactions; Circumpolar regions; Ecological functioning; Open top chambers; Phenotypic plasticity; Plant performance; Potential effects; Reproductive output; Landforms; alpine environment; climate change; global warming; growth rate; mountain region; open-top chamber; phenotypic plasticity; reproductive biology; tundra; Arctic",Article,Scopus
"Kummli J., Widmer S., Wilhelm M., Dengler J., Billeter R.","Vegetation changes in urban grasslands over 25 years in the city of Zurich, Switzerland [Veränderung der Graslandvegetation in der Stadt Zürich (Schweiz) über 25 Jahre]",2021,"Tuexenia","10.14471/2021.41.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126656716&doi=10.14471%2f2021.41.018&partnerID=40&md5=92ca3c545994882cfbaab9b6139db52d","Many studies have demonstrated significant alterations in the species composition of grasslands in Central Europe over the past decades due to multiple drivers of anthropogenic environmental change. Most such studies deal with dry, acidic, wet or alpine grassland types, while little is known about changes in mesic grasslands, particularly in urban areas. To investigate the effects of anthropogenic environmental change on such grasslands, we resurveyed a selection of plots in the city of Zurich (Switzerland) approximately 25 years after their original recording. First, we checked whether 241 extensively used mesic grasslands (belonging to the Arrhenatheretalia elatioris) in the city were still grasslands, and whether their management had changed. Then we resurveyed a representative subset of 30 quasi-permanent plots of 50 m2. We tested whether biodiversity metrics, mean ecological indicator values, community weighted means (CWMs) of functional traits or the presence of individual vascular plant species had changed. We found that 15% of the original grasslands had been lost due to changes in land use during this period. Of the remaining grasslands, most of the former meadows were still mown, while many of the former pastures had been transformed into meadows. Measures of alpha diversity had not changed significantly for the 30 plots. However, species composition now indicated nutrient poorer, less base-rich and less ruderal site conditions, while CWMs of specific leaf area (SLA) had decreased and that of seed mass increased. In stands that were managed by mowing in both periods there was practically no change, while there was a pronounced change in those that had been transformed from grazing to mowing. In general, five species showed a significant increase and 16 species a significant decrease in frequency, with no obvious ecological difference between winners and losers. Alien species were rare in both periods and showed hardly any trend, except Veronica persica, which became rarer. In conclusion, more extensively used grasslands have survived to date than would be anticipated in such a rapidly growing city as Zurich. Their quality has hardly changed during the past quarter century, and if changes occurred, they are rather attributable to the intentional change of management from grazing to mowing. The relatively good ecological state of these urban grasslands might be due to a lower agricultural land use pressure than outside urban areas, as well as a constant management of many of these grasslands with a conservation focus. By maintaining these grasslands in their current state, they may have the potential to contribute to the conservation of biodiversity in urban areas. © 2021. All Rights Reserved.","Arrhenatherion elatioris; biodiversity; CSR-strategy; ecological indicator value; functional trait; green space; meadow; mesic grassland; Molinio-Arrhenatheretea; pasture; resurvey; Switzerland; urban ecology; vegetation change; Zurich",,Article,Scopus
"Helsen K., Acharya K.P., Graae B.J., de Kort H., Brunet J., Chabrerie O., Cousins S.A.O., de Frenne P., Hermy M., Verheyen K., Pélabon C.","Earlier onset of flowering and increased reproductive allocation of an annual invasive plant in the north of its novel range",2020,"Annals of Botany","10.1093/aob/mcaa110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094983505&doi=10.1093%2faob%2fmcaa110&partnerID=40&md5=fd84cd1fc2e2ea4a945073ee4e212a60","Background and Aims It remains unclear whether invasive species can maintain both high biomass and reproductive output across their invaded range. Along latitudinal gradients, allocation theory predicts that faster flowering onset at high latitudes results in maturation at smaller size and thus reduced reproductive output. For annual invasive plants, more favourable environmental conditions at low latitudes probably result in stronger competition of co-occurring species, potentially driving selection for higher investment in vegetative biomass, while harsher climatic conditions and associated reproductive uncertainty at higher latitudes could reduce selection for vegetative biomass and increased selection for high reproductive investment (stress-gradient hypothesis). Combined, these drivers could result in increased or constant reproductive allocation with increasing latitude. • Methods We quantified life-history traits in the invasive annual plant Impatiens glandulifera along a latitudinal gradient in Europe. By growing two successive glasshouse generations, we assessed genetic differentiation in vegetative growth and reproductive output across six populations, and tested whether onset of flowering drives this divergence. • Key Results Trait variation was mainly caused by genetic differentiation. As expected, flowering onset was progressively earlier in populations from higher latitudes. Plant height and vegetative biomass also decreased in populations from higher latitudes, as predicted by allocation theory, but their variation was independent of the variation in flowering onset. Reproductive output remained constant across latitudes, resulting in increased reproductive allocation towards higher latitudes, supporting the stress-gradient hypothesis. We also observed trait genetic differentiation among populations that was independent of latitude. • Conclusions We show that an annual invasive plant evolved several life-history traits across its invaded range in ~150 years. The evolution of vegetative and reproductive traits seems unconstrained by evolution of flowering onset. This genetic decoupling between vegetative and reproductive traits possibly contributes to the invasion success of this species. © The Author(s) 2020. Published by Oxford University Press on behalf of the Annals of Botany Company.","Allocation theory; Common garden; Flowering onset; Impatiens glandulifera; Latitudinal gradient; Life-history theory; Maternal effects; Phenology; Reproductive investment; Seed size; Stress-gradient hypothesis","annual plant; biomass; genetic differentiation; hypothesis testing; invasive species; latitudinal gradient; life history trait; resource allocation; vegetation dynamics; Europe; Impatiens glandulifera; Europe; introduced species; phenotype; reproduction; resource allocation; Europe; Introduced Species; Phenotype; Reproduction; Resource Allocation",Article,Scopus
"Ricotta C., Acosta A.T.R., Caccianiga M., Cerabolini B.E.L., Godefroid S., Carboni M.","From abundance-based to functional-based indicator species",2020,"Ecological Indicators","10.1016/j.ecolind.2020.106761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089229739&doi=10.1016%2fj.ecolind.2020.106761&partnerID=40&md5=7ebdfd5e133b96b26f910e814ea61367","Indicator species with high fidelity to a-priori defined groups of sites are a relevant tool to ecologically characterize plant or animal assemblages. The identification of indicator or diagnostic species is usually performed by summarizing the species abundances within each group of sites. Species with high concentration in a given group of sites are considered diagnostic of that particular group. Among the methods proposed for the determination of indicator species, only very few have considered the species functional traits. This is quite surprising, as species influence ecosystem processes via their traits. Therefore, the species functional traits should give a much better ecological characterization of a group of sites than the species abundances. The aim of this paper is thus to use the species functional characteristics to improve their diagnostic value. These characteristics include the species functional traits and all species-level indicators of environmental association. The proposed method consists of combining the species abundances and their functional characteristics into a single composite index, which can be interpreted as the species fuzzy degree of compatibility with each group of sites. The interpretation of this index in terms of fuzzy set theory allows to introduce a high degree of flexibility in the computation of the species diagnostic values. To show the behavior of the proposed index, two worked examples with data on Alpine vegetation in northern Italy and urban alien species in the city of Brussels (Belgium) are used. © 2020 Elsevier Ltd","Functional abundance; Functional centroid; Fuzzy sets; Permutation methods; Species occurrences","Computation theory; Ecology; Fuzzy set theory; Degree of flexibility; Diagnostic value; Ecosystem process; Functional characteristics; Functional traits; Indicator species; Single composites; Species abundance; Forestry; abundance; alpine environment; animal community; bioindicator; introduced species; plant community; vegetation type; Belgium; Brussels [Belgium]; Italy; Animalia",Article,Scopus
"Gao J.-G., Liu H., Wang N., Yang J., Zhang X.-L.","Plant extinction excels plant speciation in the Anthropocene",2020,"BMC Plant Biology","10.1186/s12870-020-02646-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091129176&doi=10.1186%2fs12870-020-02646-3&partnerID=40&md5=d7e8ecf99757199fcc67d0423f58bc0b","Background: In the past several millenniums, we have domesticated several crop species that are crucial for human civilization, which is a symbol of significant human influence on plant evolution. A pressing question to address is if plant diversity will increase or decrease in this warming world since contradictory pieces of evidence exit of accelerating plant speciation and plant extinction in the Anthropocene. Results: Comparison may be made of the Anthropocene with the past geological times characterised by a warming climate, e.g., the Palaeocene-Eocene Thermal Maximum (PETM) 55.8 million years ago (Mya) - a period of ""crocodiles in the Arctic"", during which plants saw accelerated speciation through autopolyploid speciation. Three accelerators of plant speciation were reasonably identified in the Anthropocene, including cities, polar regions and botanical gardens where new plant species might be accelerating formed through autopolyploid speciation and hybridization. Conclusions: However, this kind of positive effect of climate warming on new plant species formation would be thoroughly offset by direct and indirect intensive human exploitation and human disturbances that cause habitat loss, deforestation, land use change, climate change, and pollution, thus leading to higher extinction risk than speciation in the Anthropocene. At last, four research directions are proposed to deepen our understanding of how plant traits affect speciation and extinction, why we need to make good use of polar regions to study the mechanisms of dispersion and invasion, how to maximize the conservation of plant genetics, species, and diverse landscapes and ecosystems and a holistic perspective on plant speciation and extinction is needed to integrate spatiotemporally. © 2020 The Author(s).","Anthropocene; Biodiversity; Conservation; Plant extinction; Plant speciation","biodiversity; climate change; ecosystem; environmental protection; greenhouse effect; plant; species differentiation; species extinction; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Extinction, Biological; Genetic Speciation; Greenhouse Effect; Plants",Review,Scopus
"Barros A., Aschero V., Mazzolari A., Cavieres L.A., Pickering C.M.","Going off trails: How dispersed visitor use affects alpine vegetation",2020,"Journal of Environmental Management","10.1016/j.jenvman.2020.110546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084093942&doi=10.1016%2fj.jenvman.2020.110546&partnerID=40&md5=dd4b290df3bdd9cb11cdb47062f603ac","Mountain protected areas provide a range of ecosystem services including conserving biodiversity, while often providing recreation and tourism opportunities. Unfortunately, tourists and pack animals used to transport equipment can damage sensitive alpine vegetation particularly when they leave trails. This study assessed the impacts of disturbance from off trail use on alpine vegetation in a popular park in the Andes. The effect of different levels of disturbance as well as abiotic factors on alpine steppe vegetation was assessed using generalized linear models and ordinations in 91 plots (20 m2) in the popular Horcones Valley that is used to access remote areas in Aconcagua Provincial Park in Argentina. Disturbance off trails resulted in declines in the cover of native plants, including the endemic shrub Adesmia aegiceras but increases in the cover of herbs including the non-native Convolvulus arvensis. Increased disturbance was associated with shifts from stress tolerant species to ruderal plants characterized by more acquisitive traits, including shorter plants with greater Specific Leaf Area. The research demonstrates the severity of impacts from off trail trampling including how trampling favours some species with specific traits over others and why it is important to limit off track use in areas of high conservation value. © 2020","Alpine vegetation; Dispersed use; Mountains; Protected areas; Tourism; Trampling","alpine environment; biodiversity; conservation management; conservation status; ecological impact; ecosystem service; environmental disturbance; mountain environment; protected area; trampling; vegetation structure; Argentina; article; Convolvulus arvensis; human; leaf area; nonhuman; shrub; steppe; stress; tourism; vegetation; animal; biodiversity; ecosystem; environmental protection; recreation; Aconcagua Provincial Park; Andes; Argentina; Argentina; Mendoza; Adesmia; Aegiceras; Animalia; Convolvulus arvensis; Animals; Argentina; Biodiversity; Conservation of Natural Resources; Ecosystem; Recreation",Article,Scopus
"Descombes P., Kergunteuil A., Glauser G., Rasmann S., Pellissier L.","Plant physical and chemical traits associated with herbivory in situ and under a warming treatment",2020,"Journal of Ecology","10.1111/1365-2745.13286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073925950&doi=10.1111%2f1365-2745.13286&partnerID=40&md5=8c4d0fbf80dd28dff8a25e38ff657718","Plants protect themselves against herbivore attacks with physical traits and toxic secondary metabolites. Levels of plant defences and herbivore performance might shift under climate warming, particularly in alpine habitats, where herbivore pressure is currently low. Plant responses to warming should be driven by species-specific shifts in physical and chemical defence traits. We investigated the association between plant leaf physical and chemical traits and herbivory under current and warmer climates in three grasslands along a subalpine to alpine gradient. Specifically, we measured the rate of in situ natural herbivory, and performed bioassays to measure overall plant species-level resistance using the extreme generalist non-native caterpillar Spodoptera littoralis. We simulated warmer conditions by using open-top chambers and assessed the effect of warming on leaf physical and chemical traits, and how trait changes affect caterpillar performance. Natural herbivory and caterpillar performance were associated with plant physical traits, including specific leaf area, and with ordination axes representing dimensions of the plant chemical profile. We found that the warming treatment independently decreased the number of distinct chemical compounds per species, and marginally increased specific leaf area. Changes in leaf functional traits were not systematically associated with changes in caterpillar performance. Synthesis. Plant physical traits and chemical profiles are both related to natural herbivory and plant resistance against Spodoptera littoralis. While leaf physical and chemical traits of high elevation plants were modified by the warming treatment, these changes did not result in predictable effects on plant resistance against herbivores. © 2019 The Authors. Journal of Ecology © 2019 British Ecological Society","climate change; functional traits; herbivore; liquid chromatography; metabolomics; open-top chamber; phylogenetic signal; plant–herbivore interactions","bioassay; caterpillar; chemical defense; defense mechanism; generalist; herbivory; leaf area; moth; physicochemical property; secondary metabolite; Spodoptera littoralis",Article,Scopus
"Meineri E., Klanderud K., Guittar J., Goldberg D.E., Vandvik V.","Functional traits, not productivity, predict alpine plant community openness to seedling recruitment under climatic warming",2020,"Oikos","10.1111/oik.06243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073970852&doi=10.1111%2foik.06243&partnerID=40&md5=76669bc8f8af66cf0b1e360453390af6","Understanding the degree to which plant communities are open to seedling recruitment is key to predicting how they will be impacted by climate change. We experimentally assessed whether communities assembled under colder climates were inherently more open to recruitment than warmer-climate communities, after controlling for differences in the current climate under which the communities were growing. We then tested whether variation in openness to recruitment could be explained by community biomass or by the plant functional traits of the community. The study was conducted in a climate grid of twelve grassland sites across southern Norway, differing systematically in temperature and precipitation. Along a 2000 mm precipitation gradient, we transplanted turfs with intact plant communities from alpine and sub-alpine sites into 2°C warmer sites, and measured natural seedling emergence in these transplanted turfs versus locally replanted control turfs at the transplant destination sites. Mixed effect models were used to assess the effect of origin (cold versus warm climate), biomass, and functional trait composition of the communities on seedling emergence. We further assessed variation in these effects across different climatic contexts (the temperature and precipitation gradients). Communities originating from colder climates were consistently more open to recruitment, with on average 44% more seedlings emerging, than the locally replanted control communities. The higher rates of seedling emergence in colder-climate communities were attributable to systematic differences in plant functional traits, but not in biomass. The colder-climate communities were composed of species with smaller leaves and lower maximum plant heights; traits that may make these communities less effective at excluding new recruits. These trait-related responses were not significant in the warmest sites and did not very across the precipitation gradient. Our results suggest that alpine species lack the competitive effect traits required to make their communities resistant to invasion by novel competitors under climate change. © 2019 Nordic Society Oikos","biomass; biotic interactions; climate change; effect traits; emergence; invasibility","air temperature; alpine environment; biological invasion; biomass; biotic factor; climate change; functional role; plant community; precipitation (climatology); recruitment (population dynamics); seedling; seedling emergence; warming; Norway",Article,Scopus
"Bao G.-S., Yu Y.-F., Li C.-J.","Isolation and identification of Epichloё sp. infecting Stipa aliena in alpine meadows of the Qinghai-Tibet Plateau [高寒草甸优势禾草-异针茅内生真菌的分离与鉴定]",2019,"Acta Prataculturae Sinica","10.11686/cyxb2018470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071858496&doi=10.11686%2fcyxb2018470&partnerID=40&md5=fb6a455ad0d6adeebed89684b3f277eb","Stipa aliena is one of the important native plant species and a dominant grass species in alpine meadows of the Qinghai-Tibet Plateau. There has been little study of the endophyte(s) of S. aliena; therefore, in order to determine colonisation morphology and taxonomic status of the endophytes of this grass, samples of S. aliena were isolated from two different geographical populations, and the morphological features of endophyte strains found were observed. In addition, three housekeeper genes (tub, actin, tef) were selected for amplification of specific gene fragments in order to construct phylogenetic trees for each housekeeper gene for the endophyte species recovered. The endophyte morphological traits, such as colonisation morphology, hyphal growth rate, spore morphology and size were consistent with the recovered endophytes being Epichloё sp. Phylogenetic trees for tub and actin indicated that endophytes isolated from S. aliena had a close relationship with Epichloё gansuensis and Epichloё sylvatica; however, phylogenetic trees for tef showed that endophytes isolated from S. aliena were closely related to E. gansuensis and E. inebrians. Therefore, the endophytes of S. aliena were preliminarily identified as E. gansuensis from China (Xinjiang), E. inebrians from China (Gansu) and E. sylvatica from Europe. Our results suggest that the host-specificity might not be strongly developed in endophytes infecting S. aliena, and that different Epichloё species have independently developed a symbiotic relationship with the host grass S. aliena. © 2019, Editorial Office of Acta Prataculturae Sinica. All rights reserved.","Diversity; Epichloё; Host specificity; Qinghai plateau; Stipa aliena; Systematic evolution",,Article,Scopus
"Deschenes E., Caubel E., Sirois L.","Parental Plant Elevation Does Not Affect Nonnative Poa annua's Seed Germination and Propagation Potential",2019,"Natural Areas Journal","10.3375/043.039.0305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086170655&doi=10.3375%2f043.039.0305&partnerID=40&md5=62ad42b3d6603a99ff4ec71f4492e718","Nonnative species are a threat to biodiversity as their numbers are increasing in protected areas globally, impacting many ecological processes such as hydrological cycles, fire regimes, and competition. These species possess traits that ease their progression into alpine habitats, which could be a threat to rare and endemic plants in these areas. A prime example of this is in the Gaspésie National Park (Québec) where many nonnative species, such as Poa annua, are progressing in elevation, establishing in alpine habitats inhabited by rare and endemic species. In the case of this study, the impacts of elevation on parental plants and date of collection on seed germinability was determined for mature seeds of P. annua on three mountains in the Gaspésie National Park. Elevation as well as the date of collection did not influence germination of seeds of P. annua, and total germination remained very high (>80%) at high elevations. Therefore, because seed germination is not affected by maternal plant elevation, we assume that the abundance of P. annua may increase in disturbed alpine areas, and management strategies should be developed to counter or mitigate the effects of these invasions. © 2019 All rights reserved.","elevation; invasive; maturation; Poa annua; seed","alpine environment; biodiversity; endemic species; germination; grass; plant; protected area; seed; Canada; Gaspesie National Park; Quebec [Canada]; Poa annua",Article,Scopus
